 train         node      observed        predicted
     y           17    4.700000E+05     3.708738E+05
     y           72    5.680000E+05     6.913100E+05
     y           32    5.660000E+05     5.728587E+05
     y           19    4.460000E+05     7.060558E+05
     y           33    5.000000E+05     3.990938E+05
     y           73    5.420000E+05     5.120566E+05
     y           17    2.800000E+05     3.708738E+05
     y           32    5.690000E+05     5.728587E+05
     y           19    5.890000E+05     7.060558E+05
     y           32    5.330000E+05     5.728587E+05
     y           33    4.150000E+05     3.990938E+05
     y           72    1.094900E+06     6.913100E+05
     y           17    6.890000E+05     3.708738E+05
     y           48    5.400000E+05     7.757435E+05
     y           19    5.400000E+05     7.060558E+05
     y           33    4.260000E+05     3.990938E+05
     y           53    1.275000E+06     1.152055E+06
     y            7    7.500000E+05     9.370035E+05
     y           33    4.230000E+05     3.990938E+05
     y           17    3.700000E+05     3.708738E+05
     y            7    8.630000E+05     9.370035E+05
     y           33    4.000000E+05     3.990938E+05
     y            7    1.025000E+06     9.370035E+05
     y           32    4.700000E+05     5.728587E+05
     y           19    4.820000E+05     7.060558E+05
     y           19    5.620000E+05     7.060558E+05
     y           48    7.010000E+05     7.757435E+05
     y           33    4.940000E+05     3.990938E+05
     y           17    3.960000E+05     3.708738E+05
     y           32    5.480000E+05     5.728587E+05
     y           17    2.600000E+05     3.708738E+05
     y           33    3.190000E+05     3.990938E+05
     y           33    3.950000E+05     3.990938E+05
     y            7    7.500000E+05     9.370035E+05
     y           17    4.400000E+05     3.708738E+05
     y           17    4.950000E+05     3.708738E+05
     y           19    5.200000E+05     7.060558E+05
     y           25    6.630000E+05     6.117883E+05
     y           19    6.500000E+05     7.060558E+05
     y           25    5.580000E+05     6.117883E+05
     y           17    4.000000E+05     3.708738E+05
     y           17    3.200000E+05     3.708738E+05
     y           37    7.100000E+05     4.740929E+05
     y           19    1.400000E+06     7.060558E+05
     y           73    6.250000E+05     5.120566E+05
     y           37    5.540000E+05     4.740929E+05
     y            7    1.271000E+06     9.370035E+05
     y           73    3.620000E+05     5.120566E+05
     y           25    7.590000E+05     6.117883E+05
     y           17    3.490000E+05     3.708738E+05
     y           37    6.990000E+05     4.740929E+05
     y           48    2.890000E+05     7.757435E+05
     y           53    1.051000E+06     1.152055E+06
     y           33    2.460000E+05     3.990938E+05
     y           37    2.710000E+05     4.740929E+05
     y           19    8.950000E+05     7.060558E+05
     y           48    2.395000E+06     7.757435E+05
     y           72    4.500000E+05     6.913100E+05
     y            7    1.680000E+06     9.370035E+05
     y           17    2.850000E+05     3.708738E+05
     y           17    4.910000E+05     3.708738E+05
     y            7    1.729000E+06     9.370035E+05
     y           37    2.850000E+05     4.740929E+05
     y           48    3.250000E+05     7.757435E+05
     y           48    2.900000E+05     7.757435E+05
     y           48    6.300000E+05     7.757435E+05
     y           53    2.395000E+06     1.152055E+06
     y           17    2.900000E+05     3.708738E+05
     y           17    1.930000E+05     3.708738E+05
     y           72    1.267000E+06     6.913100E+05
     y           48    5.350000E+05     7.757435E+05
     y           17    3.060000E+05     3.708738E+05
     y           33    1.660000E+05     3.990938E+05
     y           37    2.810000E+05     4.740929E+05
     y           48    6.300000E+05     7.757435E+05
     y           53    5.500000E+05     1.152055E+06
     y           53    5.750000E+05     1.152055E+06
     y           73    3.430000E+05     5.120566E+05
     y           33    2.800000E+05     3.990938E+05
     y           53    9.550000E+05     1.152055E+06
     y           32    4.280000E+05     5.728587E+05
     y           48    7.000000E+05     7.757435E+05
     y           37    3.000000E+05     4.740929E+05
     y           19    4.420000E+05     7.060558E+05
     y           17    5.100000E+05     3.708738E+05
     y           17    4.200000E+05     3.708738E+05
     y           73    7.010000E+05     5.120566E+05
     y           53    7.990000E+05     1.152055E+06
     y           48    6.450000E+05     7.757435E+05
     y           19    4.750000E+05     7.060558E+05
     y           19    2.900000E+05     7.060558E+05
     y           48    7.530000E+05     7.757435E+05
     y           32    5.520000E+05     5.728587E+05
     y           73    8.500000E+05     5.120566E+05
     y           37    3.600000E+05     4.740929E+05
     y           17    3.990000E+05     3.708738E+05
     y           48    6.850000E+05     7.757435E+05
