 train       observed       predicted
 y     1.199000E+06     9.772909E+05
 y     3.150000E+05     4.533600E+05
 y     4.100000E+05     4.034944E+05
 y     3.400000E+05     4.948629E+05
 y     3.900000E+05     4.708967E+05
 y     4.250000E+05     4.572333E+05
 y     8.600000E+05     5.985825E+05
 y     2.710000E+05     3.348692E+05
 y     4.700000E+05     4.046470E+05
 y     5.680000E+05     4.850630E+05
 y     5.660000E+05     5.079811E+05
 y     4.460000E+05     4.862435E+05
 y     5.000000E+05     4.459600E+05
 y     5.420000E+05     4.952539E+05
 y     2.800000E+05     3.625665E+05
 y     5.690000E+05     5.079811E+05
 y     5.890000E+05     5.925749E+05
 y     5.330000E+05     5.074888E+05
 y     4.150000E+05     4.419468E+05
 y     1.094900E+06     7.975254E+05
 y     6.890000E+05     4.955915E+05
 y     5.400000E+05     6.265547E+05
 y     5.400000E+05     5.900548E+05
 y     4.260000E+05     4.472543E+05
 y     1.275000E+06     9.463233E+05
 y     7.500000E+05     8.357397E+05
 y     4.230000E+05     4.521503E+05
 y     3.700000E+05     4.011959E+05
 y     8.630000E+05     8.372758E+05
 y     4.000000E+05     4.863847E+05
 y     1.025000E+06     8.901402E+05
 y     4.700000E+05     4.920135E+05
 y     4.820000E+05     4.592653E+05
 y     5.620000E+05     6.490639E+05
 y     7.010000E+05     6.832609E+05
 y     4.940000E+05     4.713885E+05
 y     3.960000E+05     4.079634E+05
 y     5.480000E+05     5.079811E+05
 y     2.600000E+05     3.610922E+05
 y     3.190000E+05     4.069329E+05
 y     3.950000E+05     4.492450E+05
 y     7.500000E+05     8.259591E+05
 y     4.400000E+05     4.120402E+05
 y     4.950000E+05     4.651826E+05
 y     5.200000E+05     5.438719E+05
 y     6.630000E+05     6.392091E+05
 y     6.500000E+05     7.134641E+05
 y     5.580000E+05     6.387953E+05
 y     4.000000E+05     4.171420E+05
 y     3.200000E+05     4.111129E+05
 y     7.100000E+05     5.881660E+05
 y     1.400000E+06     8.349218E+05
 y     6.250000E+05     5.562751E+05
 y     5.540000E+05     4.313766E+05
 y     1.271000E+06     1.059863E+06
 y     3.620000E+05     4.140458E+05
 y     7.590000E+05     6.689014E+05
 y     3.490000E+05     3.342653E+05
 y     6.990000E+05     3.995117E+05
 y     2.890000E+05     5.118094E+05
 y     1.051000E+06     1.080740E+06
 y     2.460000E+05     2.904413E+05
 y     2.710000E+05     3.942695E+05
 y     8.950000E+05     6.393794E+05
 y     2.395000E+06     1.075990E+06
 y     4.500000E+05     5.302179E+05
 y     1.680000E+06     1.059685E+06
 y     2.850000E+05     2.844269E+05
 y     4.910000E+05     3.876345E+05
 y     1.729000E+06     1.075590E+06
 y     2.850000E+05     4.401695E+05
 y     3.250000E+05     5.653023E+05
 y     2.900000E+05     7.796587E+05
 y     6.300000E+05     6.125269E+05
 y     2.395000E+06     1.159256E+06
 y     2.900000E+05     4.611200E+05
 y     1.930000E+05     3.154342E+05
 y     1.267000E+06     6.267032E+05
 y     5.350000E+05     6.723970E+05
 y     3.060000E+05     3.463453E+05
 y     1.660000E+05     3.087015E+05
 y     2.810000E+05     3.898630E+05
 y     6.300000E+05     6.179996E+05
 y     5.500000E+05     1.029534E+06
 y     5.750000E+05     1.065104E+06
 y     3.430000E+05     4.282619E+05
 y     2.800000E+05     4.213533E+05
 y     9.550000E+05     8.125949E+05
 y     4.280000E+05     5.579852E+05
 y     7.000000E+05     6.670863E+05
 y     3.000000E+05     5.635803E+05
 y     4.420000E+05     5.107643E+05
 y     5.100000E+05     3.875768E+05
 y     4.200000E+05     5.219133E+05
 y     7.010000E+05     5.370110E+05
 y     7.990000E+05     7.933546E+05
 y     6.450000E+05     6.154194E+05
 y     4.750000E+05     5.781098E+05
 y     2.900000E+05     4.156095E+05
 y     7.530000E+05     7.645655E+05
 y     5.520000E+05     4.417453E+05
 y     8.500000E+05     5.403622E+05
 y     3.600000E+05     4.647543E+05
 y     3.990000E+05     3.286418E+05
 y     6.850000E+05     7.271682E+05
 y     7.300000E+05     6.957561E+05
 y     7.050000E+05     7.387979E+05
 y     3.070000E+05     4.435045E+05
 y     5.720000E+05     3.953811E+05
 y     4.400000E+05     3.810348E+05
 y     2.395000E+06     1.042941E+06
 y     5.130000E+05     5.654677E+05
 y     7.630000E+05     4.792377E+05
 y     4.490000E+05     4.042801E+05
 y     5.280000E+05     4.835443E+05
 y     2.250000E+05     3.876060E+05
 y     1.650000E+05     4.583272E+05
 y     5.000000E+05     4.797050E+05
 y     7.800000E+05     7.367299E+05
 y     3.000000E+05     4.105068E+05
 y     8.030000E+05     6.685043E+05
 y     1.550000E+06     1.002776E+06
 y     5.320000E+05     1.033253E+06
 y     6.150000E+05     7.432729E+05
 y     3.900000E+05     5.278470E+05
 y     6.300000E+05     6.363582E+05
 y     2.830000E+05     4.003136E+05
 y     3.220000E+05     4.266075E+05
 y     1.100000E+05     2.623597E+05
 y     3.300000E+05     3.780241E+05
 y     3.030000E+05     3.964464E+05
 y     7.300000E+05     7.034164E+05
 y     2.600000E+05     4.438057E+05
 y     3.660000E+05     4.719676E+05
 y     2.395000E+06     1.075004E+06
 y     7.000000E+05     7.138684E+05
 y     3.950000E+05     5.674033E+05
 y     6.300000E+05     6.099435E+05
 y     3.190000E+05     3.509173E+05
 y     1.235000E+06     8.558133E+05
 y     7.800000E+05     6.640004E+05
 y     7.000000E+05     8.426121E+05
 y     7.300000E+05     6.869513E+05
 y     4.800000E+05     8.044447E+05
 y     2.470000E+05     3.736020E+05
 y     2.395000E+06     1.143749E+06
 y     6.290000E+05     6.175925E+05
 y     3.260000E+05     4.101556E+05
 y     1.000000E+06     9.872960E+05
 y     6.180000E+05     5.776219E+05
 y     3.310000E+05     3.523208E+05
 y     6.450000E+05     7.148971E+05
 y     4.030000E+05     4.500856E+05
 y     2.710000E+05     4.040351E+05
 y     3.750000E+05     5.149176E+05
 y     2.630000E+05     4.575150E+05
 y     5.680000E+05     5.902723E+05
 y     5.670000E+05     4.714164E+05
 y     9.260000E+05     8.512089E+05
 y     3.700000E+05     4.430447E+05
 y     4.280000E+05     5.707884E+05
 y     5.290000E+05     7.103373E+05
 y     5.200000E+05     4.309783E+05
 y     9.500000E+05     8.091146E+05
 y     7.090000E+05     6.154093E+05
 y     8.020000E+05     9.887289E+05
 y     2.500000E+05     4.623448E+05
 y     3.970000E+05     3.768129E+05
 y     9.990000E+05     6.787745E+05
 y     7.990000E+05     7.969158E+05
 y     2.990000E+05     3.408139E+05
 y     3.510000E+05     3.900929E+05
 y     3.100000E+05     3.078358E+05
 y     5.520000E+05     5.304855E+05
 y     1.100000E+05     2.515159E+05
 y     7.980000E+05     9.485939E+05
 y     3.000000E+05     2.877075E+05
 y     7.190000E+05     5.755513E+05
 y     3.170000E+05     3.698399E+05
 y     6.800000E+05     4.933855E+05
 y     4.610000E+05     6.087967E+05
 y     1.100000E+05     3.123518E+05
 y     6.350000E+05     5.181250E+05
 y     6.360000E+05     5.826748E+05
 y     9.030000E+05     8.695426E+05
 y     1.125000E+06     7.945591E+05
 y     8.770000E+05     7.780067E+05
 y     3.760000E+05     3.108831E+05
 y     8.820000E+05     1.123694E+06
 y     4.750000E+05     5.789185E+05
 y     5.950000E+05     5.262957E+05
 y     5.190000E+05     4.822053E+05
 y     6.330000E+05     5.945404E+05
 y     4.100000E+05     4.314600E+05
 y     4.250000E+05     5.774315E+05
 y     8.960000E+05     9.155926E+05
 y     5.220000E+05     6.588397E+05
 y     2.910000E+05     4.003223E+05
 y     3.700000E+05     5.023828E+05
 y     2.560000E+05     3.445560E+05
 y     4.990000E+05     5.684670E+05
 y     4.380000E+05     4.646150E+05
 y     3.150000E+05     3.937336E+05
 y     3.960000E+05     3.785336E+05
 y     7.020000E+05     6.970537E+05
 y     7.200000E+05     5.744934E+05
 y     3.060000E+05     3.766974E+05
 y     1.750000E+05     2.928006E+05
 y     3.170000E+05     4.930975E+05
 y     3.180000E+05     5.044315E+05
 y     6.890000E+05     6.438804E+05
 y     3.500000E+05     3.926910E+05
 y     9.400000E+05     7.332283E+05
 y     4.360000E+05     1.006991E+06
 y     2.000000E+05     3.293288E+05
 y     1.088000E+06     1.055057E+06
 y     2.580000E+05     2.983342E+05
 y     3.330000E+05     3.308570E+05
 y     6.850000E+05     1.045875E+06
 y     2.229000E+06     1.047916E+06
 y     2.350000E+06     8.599346E+05
 y     3.850000E+05     4.934526E+05
 y     2.395000E+06     7.519612E+05
 y     3.690000E+05     4.383268E+05
 y     3.610000E+05     4.366624E+05
 y     7.000000E+05     5.952013E+05
 y     3.460000E+05     4.635015E+05
 y     8.750000E+05     9.848502E+05
 y     7.190000E+05     9.207189E+05
 y     5.490000E+05     6.523902E+05
 y     2.650000E+05     4.038817E+05
 y     1.440840E+06     1.055114E+06
 y     1.800000E+06     5.486997E+05
 y     3.500000E+05     5.352084E+05
 y     7.590000E+05     6.281232E+05
 y     3.020000E+05     4.339117E+05
 y     5.950000E+05     5.829191E+05
 y     4.000000E+05     6.946025E+05
 y     2.000000E+05     2.849216E+05
 y     5.250000E+05     5.114638E+05
 y     3.360000E+05     4.642698E+05
 y     2.790000E+05     3.839287E+05
 y     8.000000E+05     8.881135E+05
 y     6.790000E+05     4.962584E+05
 y     8.500000E+05     8.215624E+05
 y     4.400000E+05     4.653108E+05
 y     5.300000E+05     5.441319E+05
 y     1.888000E+06     5.344489E+05
 y     1.166000E+06     9.785675E+05
 y     2.395000E+06     1.019021E+06
 y     4.200000E+05     4.354285E+05
 y     9.890000E+05     8.203614E+05
 y     8.790000E+05     7.455619E+05
 y     5.130000E+05     6.764199E+05
 y     2.222000E+06     1.042839E+06
 y     2.360000E+05     3.241470E+05
 y     5.400000E+05     4.538432E+05
 y     3.980000E+05     4.482106E+05
 y     8.300000E+05     7.281540E+05
 y     3.700000E+05     4.167705E+05
 y     2.600000E+05     3.422975E+05
 y     1.250000E+05     2.641263E+05
 y     3.680000E+05     5.133280E+05
 y     3.340000E+05     3.734066E+05
 y     4.140000E+05     6.617523E+05
 y     6.550000E+05     6.155226E+05
 y     3.780000E+05     4.012558E+05
 y     4.490000E+05     4.082989E+05
 y     2.800000E+05     3.770048E+05
 y     5.370000E+05     6.545515E+05
 y     2.000000E+05     2.858147E+05
 y     5.150000E+05     3.649878E+05
 y     5.120000E+05     4.625143E+05
 y     2.450000E+05     3.693063E+05
 y     2.900000E+05     4.577491E+05
 y     3.320000E+05     4.755283E+05
 y     3.110000E+05     3.893570E+05
 y     3.030000E+05     5.564698E+05
 y     6.300000E+05     6.320406E+05
 y     5.890000E+05     5.872848E+05
 y     5.500000E+05     1.116104E+06
 y     3.800000E+05     3.769823E+05
 y     5.200000E+05     4.754307E+05
 y     4.460000E+05     4.293017E+05
 y     2.550000E+05     3.471548E+05
 y     3.370000E+05     4.273286E+05
 y     1.840000E+05     3.061773E+05
 y     3.600000E+05     5.457628E+05
 y     3.200000E+05     3.993150E+05
 y     2.500000E+05     2.824449E+05
 y     7.300000E+05     6.663381E+05
 y     7.650000E+05     6.827021E+05
 y     4.650000E+05     6.529791E+05
 y     6.300000E+05     4.776958E+05
 y     3.270000E+05     3.529892E+05
 y     1.000000E+06     9.146996E+05
 y     2.440000E+05     3.212813E+05
 y     2.610000E+05     3.658780E+05
